date,card_number,type,amount
2018-12-16,4921689702315191,T,89
2019-03-29,4411085764502999,E,340
2019-02-20,4515093809831881,T,764
2020-02-20,4696912423795779,T,14
2018-04-26,4941930149438261,T,199
2018-03-14,5159703539858222,B,15
2018-08-25,2720293941896702,R,66
2017-10-02,5230057862010684,B,45
2018-10-01,4219874719737637926,R,768
2019-06-15,4442322013806,E,638
2018-02-03,4187981503534412,C,900
2018-06-12,3596661958370432,R,665
2017-10-30,502087272170,R,654
2020-08-19,4898092939753,R,633
2019-01-24,30109037990838,E,7
2019-12-02,3527615190955420,C,777
2018-01-31,4570382237296706,T,639
2019-12-03,586427142565,T,206
2020-04-09,4912232237316607,F,497
2018-05-01,6528999538285738,T,898
2020-04-13,588186396101,E,627
2019-02-28,6529555268234699,E,996
2019-01-18,346059531892544,C,158
2018-02-07,3554365410849641,T,647
2019-08-01,4257132737125,F,642
2019-02-22,3579019929287998,C,888
2019-08-18,3572703884563678,T,658
2018-10-28,4153113922707094,E,230
2019-08-22,4838024404201352098,E,691
2019-08-28,4434798460256549584,R,415
2018-06-30,213103631912842,T,561
2018-07-30,6011741502634036,B,168
2020-01-19,5327041284525127,B,245
2018-08-18,4423024834129,T,629
2020-08-14,4865665022045245,E,529
2020-02-08,675942335471,R,161
2018-03-01,3507115987604897,R,221
2018-06-01,4216950650331,B,748
2018-01-13,3587899812317105,B,128
2018-10-26,30505778686578,B,495
2019-08-09,676286218695,E,842
2019-01-02,4385952681094322043,R,220
2019-03-22,4082084659579451358,F,281
2017-09-29,371271315144863,E,986
2019-09-20,5408466169873031,E,379
2019-12-14,2251830094487388,R,42
2017-09-27,2253219069190359,R,66
2018-01-22,3550600378742717,T,465
2019-05-27,213171343831485,T,139
2019-05-26,2240373509126360,E,125
2018-12-08,4268662380822775361,B,786
2020-05-29,213120941734112,T,381
2020-08-25,4900825324392,B,390
2019-12-13,6011056310111204,C,373
2019-08-15,6591055748707235,C,172
2019-01-01,345755166389364,T,491
2019-12-29,2713825518614072,B,9
2019-01-10,180084554487658,C,449
2018-01-16,4939602516754,F,877
2019-06-04,3516846893760493,F,906
2017-12-20,36045474801332,C,926
2017-11-03,348254041881149,B,860
2018-06-23,3525221646944571,B,103
2018-10-11,30388597095770,C,964
2018-07-28,3590771290724596,R,275
2020-08-05,340124342337968,F,518
2019-11-07,4567221875113374,E,626
2019-10-23,38701424852415,R,286
2018-12-24,30515481393834,F,89
2020-08-25,348134365274628,F,924
2019-12-24,675979042024,F,445
2019-03-01,3529065204346638,C,403
2018-11-03,3555388821516228,F,172
2020-08-14,676167340402,F,32
2018-01-10,4847971419445144,R,94
2019-07-05,574175548860,F,913
2018-04-05,3536567851445838,C,309
2017-09-26,213195188445960,R,159
2018-03-21,180020890277577,E,947
2019-05-21,2599352257747418,R,473
2020-05-23,4083528424029454,E,855
2018-12-02,4347873453900221,R,894
2017-12-07,4446347206102799,R,474
2018-06-02,180046680929358,T,326
2020-09-13,6571182104186525,B,933
2018-01-04,180061446620290,T,787
2017-11-04,4787087406673812,B,172
2020-08-05,4094481450863841,B,147
2020-04-23,180036545852291,F,129
2019-04-16,3538766733694583,E,76
2018-06-05,4450060201088508,F,156
2019-11-30,4850596819932320960,R,947
2018-01-21,3568369377780272,R,182
2018-01-06,567149472647,T,428
2018-10-11,4475633853379,R,281
2017-12-30,3521719858078511,C,523
2018-02-03,4660953020345175733,T,295
2020-05-14,30556417255168,B,831
2017-11-30,4871873389693910,B,895
2019-06-20,36290231791752,E,17
2018-08-12,6540156733652634,R,7
2017-11-14,570464579574,R,469
2018-04-28,4401247479302,E,302
2019-09-06,4245369753342993,T,754
2020-03-21,213111442856520,R,154
2018-06-20,4938665437221129,E,748
2020-04-22,4942779415549858,T,676
2019-12-25,30499699701676,F,83
2020-07-29,503861603929,F,166
2020-07-15,4718335269474842,C,171
2020-08-15,5539430839604509,F,598
2018-09-26,3530007602469197,B,402
2018-04-27,4047031677275523,R,536
2017-11-13,6531222726967727,E,18
2019-04-04,565875006134,R,297
2019-09-07,6501051771661133,F,53
2018-07-24,675920919551,E,84
2018-04-20,502040800430,R,341
2019-05-07,372146455428285,R,270
2018-10-14,348168693666279,B,248
2019-01-04,4537728135569556,T,874
2019-04-03,639066576625,T,564
2020-05-13,30490083389863,R,541
2019-03-05,180091072787618,R,91
2018-09-23,582588934486,C,563
2019-08-25,560886603581,F,726
2019-05-06,180043814638021,E,102
2020-09-14,370870543640195,E,272
2020-08-18,6539374555716378,R,450
2019-03-05,4429188825463027,F,792
2019-03-04,4523753996221598,T,437
2018-09-08,36880305409818,R,964
2018-12-14,30472262066470,T,983
2020-03-29,348632816552047,R,669
2020-01-14,4634181491748459,C,360
2018-10-03,3581737803394517,E,522
2019-06-22,340093316575574,T,189
2018-08-19,4888569039407210413,T,342
2020-04-22,376332356903784,F,930
2019-03-03,5477929569993069,C,191
2018-06-02,4807577469498608,T,4
2019-12-03,30485651423094,C,903
2018-12-15,4987900440023034,R,673
2018-04-13,3544908773701520,B,314
2018-02-04,4529729414486593897,R,608
2020-08-21,583440797467,R,712
2020-05-17,3579757405401563,T,718
2019-04-03,6588277099533714,B,854
2017-11-14,4717636518336620,R,408
2019-09-07,30397125385538,F,507
2019-06-29,180055655165187,R,654
2020-06-11,2442632349533002,B,92
2018-02-16,3558265757406078,F,220
2018-04-27,501860695912,B,67
2018-03-09,4006387554027406,E,455
2019-02-08,2293987773254180,B,378
2020-02-07,3525683653045131,F,219
2018-11-14,5160329181289248,E,639
2017-10-09,6520239111205284,C,69
2017-09-21,572801074426,B,535
2018-12-12,503884059927,E,633
2018-05-12,3562193981338525,T,518
2019-07-27,4053927210505,F,941
2019-09-09,4661978255184730,C,435
2018-12-15,36594300853371,C,364
2019-06-16,5386573379217549,B,813
2019-11-17,213148600017644,R,667
2020-09-03,342653924330049,E,150
2020-03-13,4420417252310701,T,106
2018-04-10,3507007008436013,C,536
2019-12-15,3586054467181924,B,523
2020-03-16,6011152278120905,C,592
2020-03-21,3529663654450171,E,370
2019-03-10,2720703619430519,C,192
2019-11-25,30031092576213,F,30
2020-09-11,4198634661901272,T,969
2018-06-19,30168957624678,C,935
2019-07-15,180026035079315,E,509
2019-08-03,4932053629295860,F,487
2020-09-09,3519205319347590,E,540
2019-10-12,347187237840928,F,507
2018-01-22,213151003627720,R,191
2020-07-29,3549037751547948,C,742
2018-11-22,4615518974645485360,C,766
2019-08-10,4236592527165440068,T,398
2018-09-18,630448137723,T,728
2018-11-12,30385395899098,T,466
2019-06-16,4828655070437510317,C,582
2018-01-12,4297355131689,B,958
2018-03-25,376994331386334,B,900
2019-07-13,4773461590166,B,719
2020-04-06,6011962697640873,B,774
2018-06-16,4042784882840817622,R,581
2019-05-31,4926218533391414,E,245
2020-02-03,2292892248014832,T,795
2018-07-04,4574227505385,F,934
2019-06-01,36356044843658,R,519
2019-03-31,4795824154515716,R,372
2019-05-04,6594206688266024,C,55
2018-09-04,180046558009218,C,528
2020-03-06,4424829792721487535,F,486
2018-10-28,4952655706939643,F,746
2018-12-21,213101408901931,F,507
2019-02-25,38977665664509,T,862
2018-08-19,6561141587324765,C,126
2018-09-22,4940065289384,T,256
2018-09-17,378632115607412,R,910
2020-07-21,30005378003829,F,950
2019-10-06,30598837344347,R,641
2020-02-15,4244020659540183042,C,819
2018-05-10,3589862420506194,C,730
2018-06-11,4693180176879203824,B,135
2018-08-23,3599397801575847,E,884
2020-05-05,3579975351863814,R,576
2019-06-20,3598935562086925,B,112
2020-08-14,180093366549779,T,379
2018-10-19,5177514478483551,F,427
2020-01-21,639026113675,F,252
2018-10-28,4376722732314221,T,802
2018-03-04,4748748684912043823,E,372
2019-02-11,6011893193058817,R,142
2020-04-18,213151084982317,T,109
2018-01-24,30354987162794,F,825
2020-04-17,213183603786119,E,469
2020-02-03,4104440258451298,C,309
2020-01-27,3554605962202255,E,20
2020-06-11,4781546448000602691,C,897
2018-02-27,346687754330170,T,973
2018-04-26,3554279395407871,T,300
2020-03-30,4513722024367659,F,331
2020-04-30,3500582041591195,F,19
2020-04-05,6011129011911329,F,799
2018-06-16,4252061414989899101,F,902
2019-03-19,3531184104207638,C,923
2019-08-25,180060275591481,E,507
2020-02-09,213145115785962,R,527
2018-11-04,3520395096979363,B,727
2019-06-19,347056195256072,R,915
2019-03-25,4186555607372548,F,334
2018-10-18,4268444443932651,T,192
2019-05-06,4856748103919,T,42
2018-10-11,30210861354057,F,365
2018-08-11,30324737308559,C,837
2018-06-21,3523862714162398,B,501
2020-02-14,676116343523,F,900
2019-08-26,4540953050102,B,978
2017-11-25,4682914103172168,F,170
2020-07-24,4272781507160776,C,554
2018-09-20,5152027413942473,B,521
2018-12-28,5184424192194016,R,57
2020-02-27,180082764075347,R,221
2018-08-09,38493251870633,C,943
2019-06-22,180032008399177,T,257
2018-11-13,3541945766282749,F,870
2018-10-19,2486938727890238,C,78
2018-05-14,348717957873904,R,339
2019-01-31,370517819397469,B,618
2020-07-24,4905911060191240,B,569
2019-12-24,371259412827498,B,801
2018-02-13,6563151969847067,T,273
2018-12-08,4582439798267843,T,385
2018-04-01,4432185101875663,C,660
2019-11-29,4377087696983,C,442
2020-06-19,213130647325164,E,492
2019-01-09,4994965504821756628,B,801
2018-12-08,4990725345066582769,E,442
2020-05-26,2525458320989454,C,393
2019-09-13,379610494485161,B,922
2018-11-29,6532060863371389,E,858
2019-03-30,4472354262052564650,T,806
2017-11-10,2242737100138834,C,428
2019-02-11,675910013480,B,583
2019-07-15,6542198872619089,R,674
2019-05-24,4788670501122738018,E,22
2019-05-05,180027924573343,C,560
2019-04-04,2248419997088182,T,995
2019-06-12,4132134417630209,B,588
2018-09-18,502097841543,B,35
2020-04-08,639023689719,T,383
2020-03-06,213115789898631,F,808
2018-06-03,30530053910899,T,605
2019-02-28,4727540947433,C,375
2018-07-21,4859328281217926,T,220
2020-06-15,3540703205862287,E,646
2018-02-17,3516360764624002,C,843
2018-01-05,3591588548410169,C,476
2019-02-02,060436707784,F,757
2017-11-21,4346028094155968443,T,499
2020-04-13,2278451931915546,F,123
2020-02-14,3533031227545402,E,600
2019-11-05,180067089255948,F,54
2020-04-08,4598627715847448,B,961
2019-04-07,6597084202470035,T,92
2019-07-28,347145573568891,C,389
2020-09-01,30181605413733,B,692
2018-08-29,3598500073029739,R,950
2018-05-02,4777421869807257272,E,439
2019-07-24,4379827189980,F,252
2019-11-29,3544962725064891,R,618
2018-05-07,3549538755100030,B,127
2020-06-29,180029359368801,T,889
2018-06-26,3537617537889013,R,282
2019-04-11,213110276572609,T,555
2020-01-28,4209267675201130390,E,547
2018-09-29,4676684107993707,F,704
2017-11-02,30497916184973,E,90
2019-04-17,5209463154919805,R,913
2020-03-09,30568701174856,C,478
2020-01-01,4936494952915,E,339
2019-07-10,5332940352291509,T,888
2017-10-12,4422319048072,R,238
2018-02-19,6582091730997212,T,511
2020-04-24,6545662713240584,E,239
2019-12-06,676143539267,F,21
2019-08-03,3525672683838557,F,700
2018-07-10,4411155352048679,T,510
2020-07-03,3555924032106589,B,100
2018-02-25,2299282625709571,R,577
2020-06-17,4698744982846307319,T,255
2017-09-20,3570934398710289,T,994
2018-05-30,3551477801580090,E,838
2020-01-10,4201821831218225,B,918
2019-03-24,639030285915,E,393
2019-06-21,4668637567886753,F,443
2019-11-23,3553785177679538,E,321
2018-02-10,4424313682047748,F,411
2019-04-02,675947304324,R,556
2018-02-01,345740089776418,F,63
2020-06-26,213131992255238,E,364
2019-08-05,4729122164806378,B,876
2018-02-22,180000934245525,R,930
2020-07-30,4674125378032751,B,688
2018-03-19,6011530586782385,B,470
2020-04-17,6566257518306708,C,679
2018-09-15,3593755469769802,R,210
2019-09-28,377615450095062,E,607
2018-11-14,3598731218683466,T,133
2019-01-17,5382617155341025,E,503
2019-11-04,3511403156969661,T,330
2018-04-28,3549065485332006,B,135
2020-09-15,573393807777,E,35
2018-09-05,4426507929889626,C,894
2019-12-22,639073984093,B,778
2018-06-06,4098726401706,C,196
2018-01-28,4180397856515,R,903
2020-09-07,4857956437103210,E,649
2019-09-04,2231538516000763,T,717
2019-10-29,180024757093069,F,959
2019-11-05,4812849054089073,F,974
2020-06-09,502046749615,B,633
2019-07-03,502083720735,C,518
2020-05-19,3594528694251212,E,391
2019-09-19,6528940378627860,T,962
2018-07-08,4713298374962579,B,618
2020-01-12,5470092341645312,C,91
2018-05-06,4937860538176113,T,901
2019-03-13,2464139394981964,E,832
2018-03-13,4568166507279,R,765
2019-01-21,3540670117637216,B,608
2019-04-07,378860151847952,E,715
2020-07-28,373529393122467,F,940
2020-09-01,6511927737406044,F,412
2019-10-28,180093218025069,B,419
2018-03-03,4148632344922666,B,567
2019-05-16,4461723345432006083,T,764
2019-07-30,4719267741850902,E,735
2020-07-17,3527280375914104,E,21
2020-06-06,3560744148389314,E,91
2018-12-25,2704353781545213,F,728
2017-11-12,30251963853752,B,453
2019-02-07,4751884814518601,E,319
2020-02-11,5482231852750923,C,420
2020-01-02,4576312578144,E,984
2019-05-06,213177835283507,E,512
2020-04-14,501895834155,F,781
2019-05-09,2233066439910981,F,884
2020-03-03,3580057044718064,F,101
2020-07-20,6011719410891708,T,373
2018-02-17,3559645645670507,E,638
2019-04-28,6530185242894298,E,279
2020-09-07,3524074629135365,B,355
2019-06-27,5592661793867914,F,721
2020-05-03,4785421262415772,F,603
2018-01-25,4452846924530720463,E,369
2020-01-17,4133868001924556636,E,426
2017-09-23,4724027064613839,T,197
2020-02-09,30500290542862,F,379
2018-03-18,3533870047203399,R,938
2019-06-07,2720935925899868,F,67
2020-04-01,3564850530350685,R,785
2020-03-31,373044771038004,F,194
2018-03-17,2700991391278487,E,805
2018-05-28,30193338984427,R,632
2017-12-01,2707070980228444,C,768
2018-05-28,6011370058306094,E,216
2019-01-01,4799734008975,E,241
2018-10-11,4837137862218697308,B,88
2018-05-13,180004747099236,C,141
2018-10-17,6515026739444123,C,131
2020-08-31,3554058240402935,C,137
2020-06-22,4009344187282707,T,13
2020-02-01,213154084966082,E,260
2018-08-07,4835003682247091819,C,887
2019-12-28,4062834713837669718,R,793
2018-08-23,6555682857235288,B,330
2018-02-09,4708667867437793,E,820
2018-12-15,4712852612064357,E,950
2020-08-24,30277031919333,B,730
2017-12-31,378407374890482,T,464
2018-04-26,676206328566,B,88
2019-09-09,3572263081771319,B,147
2017-10-14,36000305038695,B,320
2018-10-24,4863417098404,T,567
2019-06-28,3544943763758222,E,101
2019-04-25,36646032108894,E,945
2020-02-13,4757843948069,T,188
2019-09-21,676350047889,T,629
2020-02-18,4195244945823665,C,620
2019-07-07,4188759197352,T,122
2018-07-05,180045290460978,T,876
2019-02-16,4240628939698460,F,727
2017-12-27,4000769561918994276,C,201
2020-03-16,3599454360423776,C,775
2018-02-13,676338145946,T,196
2020-07-05,3508083166108057,T,384
2019-10-24,4670220538224812,T,683
2019-08-04,2221427905726075,B,441
2019-10-07,30368433453441,T,469
2020-05-11,3564116310478454,C,520
2019-09-06,3586469479256565,B,274
2020-02-21,36525451181790,T,461
2018-12-31,676142572194,E,950
2018-04-26,5479738666600438,C,256
2019-12-02,38949645428750,C,120
2019-09-08,4654751750070236,R,2
2019-09-02,4333435195100142,R,194
2018-06-06,3514630815481269,B,744
2018-08-02,3551263654641423,E,93
2019-02-09,4186525520987714,C,957
2018-07-05,180012506660502,T,352
2018-03-20,4172473716118651,T,70
2019-01-14,4181047474055,F,877
2019-10-19,373667986436728,T,211
2018-08-18,30142207073762,F,216
2018-08-17,213143498109983,B,373
2018-08-06,3591216528638118,F,26
2018-04-11,6011449929154808,R,740
2019-09-10,213130418151229,C,914
2017-12-21,180017284138407,E,79
2018-08-17,4685642218703645206,B,517
2020-03-12,6011478218522425,B,370
2019-06-03,375548575538090,B,300
2019-05-22,6011976028923246,F,536
2019-09-03,4503217610800211520,T,608
2019-10-07,4440889328096,F,630
2019-09-12,3550401836922797,C,452
2020-07-28,5270664207485710,T,993
2017-10-24,4807420842145802022,C,182
2018-01-17,3577044598815715,R,740
2019-06-28,180081246357299,B,348
2018-06-29,6552655702218470,B,569
2020-09-10,4729057723541910,B,289
2019-02-23,3516667625795056,T,397
2018-08-10,3546375218393933,B,582
2020-02-15,3583061356610015,C,973
2020-01-11,4214395858665423,B,215
2017-12-10,4952570297117345,R,621
2018-11-25,213181373438788,F,638
2019-04-01,4450604498562899806,F,646
2019-10-14,3550584961382844,T,767
2019-06-05,4771325763573,T,280
2018-10-18,2385047300997915,R,367
2020-08-04,6011386600429473,C,106
2020-04-16,3552194422261021,F,734
2018-08-02,30325892771408,T,352
2018-05-27,4476577479581013,E,694
2019-02-27,3542748493996048,F,887
2019-10-17,4983390211249956,B,471
2017-12-23,4352806063674,T,137
2020-02-09,6011270688886053,B,54
2020-04-05,374780083133889,T,154
2017-09-16,3517849570864116,T,468
2019-07-19,3522158481726957,R,648
2020-02-19,3500604437581125,C,20
2020-04-16,2283758032258649,B,62
2019-06-05,6011389501367321,R,502
2020-01-12,4870609689287297,R,120
2019-07-09,3558484196561167,B,225
2020-02-15,4537427621245,T,247
2019-08-09,3529295792096044,T,329
2019-08-06,6011922690897060,F,911
2019-01-21,213125839516695,C,108
2020-02-07,4329670487627602,T,553
2019-08-26,4778121542333,R,673
2017-11-07,30583226222528,F,585
2019-06-03,4857414807306674,B,701
2018-02-04,3558970389006879,B,995
2017-10-19,4807372930513627,C,850
2020-05-06,213116566113848,R,861
2020-01-15,180009810506868,T,574
2018-01-22,2388500833043802,C,990
2018-02-11,6011968795679804,B,259
2018-05-14,3512524604482434,T,247
2020-08-09,583499484652,T,320
2020-05-07,30040858066962,T,991
2018-03-01,4443892910983,B,332
2018-05-29,4418597716364,R,742
2019-07-06,676206164300,T,207
2018-11-30,4004786261064028,F,619
2018-10-02,676234764709,C,303
2017-12-24,38821401613232,T,440
2020-06-04,4230170734350834278,B,63
2020-04-15,30231697763642,F,686
2019-08-06,4249253878846,T,72
2019-09-29,213104937722273,F,304
2019-12-27,4331794481401206,R,636
2020-04-06,3531854755211523,C,458
2020-08-28,4143961707957018,R,902
2019-05-30,38025333311853,B,963
2017-10-17,4946626887285,F,25
2017-12-13,6553358307974832,B,171
2019-01-12,4461262611137398225,R,484
2019-11-06,3593827425217570,R,162
2017-09-23,6523321878925721,B,844
2020-09-01,3591763101950543,R,904
2019-04-03,3514574486225672,E,189
2019-08-30,180047660497556,T,844
2019-01-25,3595004936358941,R,155
2018-10-06,4153332880853647,R,308
2017-12-24,4641898733800,E,613
2019-01-24,5449093203669216,C,277
2017-12-20,4899005111318940,F,618
2019-12-09,6011790400287215,E,229
2017-09-22,6531919342841588,R,875
2019-06-30,6536938911987403,C,628
2018-08-20,6565234316758498,R,580
2020-01-11,2337604760211192,C,230
2018-12-21,4317503494924084800,B,69
2019-11-30,6544351466568208,B,966
2020-02-05,347241126974411,B,836
2018-12-20,3510656745814299,F,719
2019-12-16,345739900273399,B,864
2019-04-24,3562601064366023,T,383
2018-11-15,4208444963404,E,50
2020-09-03,4903297077539841,T,826
2017-12-08,344472970231375,F,33
2020-02-23,4183350357298744,R,156
2018-02-28,3564148454227090,F,967
2017-10-15,6545176391265425,B,256
2020-06-22,4224309202472988,T,923
2019-03-02,342581710955283,F,308
2020-01-12,180067636173412,R,456
2019-09-03,6522003818154098,E,695
2018-07-05,4197992517296409,T,692
2020-08-15,30070378641473,E,649
2020-05-19,4854568051911186842,T,797
2018-12-05,3574532366665869,E,58
2019-01-06,3506956614338354,T,317
2019-07-14,4886886500301992,B,581
2019-01-27,4122962736886553414,F,236
2017-10-30,4005413534809837,T,87
2019-08-09,4493983894215485,C,739
2020-02-10,675972426893,B,869
2019-05-28,213148812410090,E,390
2020-08-22,3570748185397815,T,165
2020-06-20,180071636900527,F,318
2019-07-21,213130643643487,R,351
2018-02-04,4669400715785743,E,37
2018-01-24,3530142022330081,F,222
2018-09-20,213127563705445,E,284
2018-01-02,4836687264286,F,522
2019-11-20,4667029004732783452,B,953
2019-01-16,180094110354300,C,31
2018-12-24,3538533601254902,T,456
2018-03-29,6597421192711806,T,681
2019-01-11,6011441567105630,F,855
2019-03-23,30298731502732,E,590
2019-05-17,30401631141755,B,467
2020-06-18,6582772962036007,F,940
2020-06-27,374938197155368,T,141
2020-04-01,4335467491763,E,177
2020-01-09,6011545032441675,B,453
2018-04-13,4440655938892040,B,958
2019-08-08,371010525297693,F,705
2018-05-19,4106029002684375,R,258
2018-11-07,3543103304249857,F,269
2019-09-30,4827451555026068659,C,106
2020-04-02,562831691026,T,909
2020-03-02,4782407156420,R,253
2020-06-03,3591091121337040,C,317
2020-03-31,3508387672962976,R,35
2018-10-28,4682619535524056685,F,208
2020-09-05,343367877920800,F,510
2020-05-31,30018650007459,T,971
2018-06-15,2234120366588358,B,364
2020-07-13,3548113246003010,B,450
2019-09-08,6011339349705695,F,850
2019-06-24,180097745284024,F,800
2019-10-07,5370827464942538,T,772
2018-11-25,4692063786362106,E,601
2019-02-10,3590201887582751,R,554
2020-01-13,373401302121487,R,71
2019-09-18,4979607313463813,B,650
2020-06-09,3540944287336507,R,223
2019-11-11,675908100802,T,651
2019-01-07,3597468071115895,F,671
2019-02-05,4296306824350,C,640
2019-01-12,4988849770269346,E,544
2018-02-27,4684406903484026747,C,578
2018-02-24,4987828875564414,E,605
2019-06-06,3522771701621673,R,396
2020-05-10,3540119247831869,T,511
2018-03-09,4574150155313431,R,823
2019-03-22,3544131864375928,E,389
2019-10-09,6525999976645586,E,631
2017-10-14,4811472970962595,B,22
2018-07-05,2296048021122856,T,141
2018-02-13,2378951522209588,C,672
2019-04-11,372032017226138,C,235
2020-02-18,3503432674051587,B,173
2018-10-02,30270768585146,R,515
2019-01-04,676163542993,T,225
2019-02-23,4465305065071,C,442
2019-09-24,4612176438559310139,T,566
2020-03-31,30428540746663,B,0
2019-08-14,345722089804903,B,588
2020-06-16,4057180467165,F,482
2017-12-04,3540400866944336,R,105
2017-10-06,3539547629143870,E,149
2020-01-05,38139198497911,R,709
2019-03-09,213120012407598,R,542
2018-04-11,373164756229020,T,339
2019-11-16,3532810588786841,C,138
2018-01-09,503867732649,T,966
2017-10-03,3516245372349235,T,929
2020-06-30,4815540022503,B,17
2018-09-23,2260725596766488,C,362
2018-10-03,4902687443050857288,B,68
2020-02-18,3591627423068773,B,882
2019-01-06,5314798233399343,R,192
2018-10-22,376666975681952,E,842
2019-02-14,4543841940021,B,232
2017-11-20,4116254143654853226,R,352
2020-04-16,375148994050742,E,197
2018-06-03,3546207950862504,B,498
2019-04-12,3577961623711744,R,400
2017-12-27,3577103521242536,C,60
2018-08-25,5450536163796482,E,864
2020-08-08,3578889871106698,B,935
2018-04-25,572454797919,F,47
2019-11-22,4110416143983304493,T,204
2017-10-11,4961277881685575,F,112
2017-09-19,3593749258867158,T,428
2020-05-09,4244230191538,R,775
2017-10-29,344465821643467,E,678
2017-11-27,4865589358391884,F,540
2018-01-11,371202581295618,C,309
2019-03-07,564051893985,C,423
2018-04-12,4915344508139739017,T,133
2019-12-19,4629868407901,R,604
2019-03-09,4362337588198,C,459
2018-09-30,4475622284222,E,774
2020-08-25,676184444583,F,769
2018-12-07,4837485541014548,E,52
2020-09-05,3538169365477957,C,120
2019-11-11,4340789947801121,B,669
2018-03-08,3508061708054484,E,19
2019-03-23,6581937181956290,C,207
2020-08-23,4740275747899755582,E,846
2017-12-20,30485215903680,R,498
2018-08-03,4903662792285147,E,387
2020-07-07,3511869556950933,C,489
2018-10-16,30581903601428,F,892
2018-08-19,5161958094410530,B,630
2017-12-18,2299628089691459,B,785
2019-07-11,372801133787037,C,974
2019-11-29,502026676234,E,888
2018-01-16,38216211511223,C,311
